ticker,contract,type,strike,expiration,last,volume,openInterest,addedAt
GOOGL,.GOOGL260729C335,CALL,335.00,2026-07-29,2.01,28018,2835,2026-07-29 12:51:09
GOOGL,.GOOGL260729C337.5,CALL,337.50,2026-07-29,0.90,18587,926,2026-07-29 12:51:09
GOOGL,.GOOGL260729C340,CALL,340.00,2026-07-29,0.35,13838,2005,2026-07-29 12:51:09
GOOGL,.GOOGL260729C342.5,CALL,342.50,2026-07-29,0.13,2315,1620,2026-07-29 12:51:09
GOOGL,.GOOGL260729C345,CALL,345.00,2026-07-29,0.05,1622,2358,2026-07-29 12:51:09
GOOGL,.GOOGL260729C350,CALL,350.00,2026-07-29,0.01,899,1418,2026-07-29 12:51:09
GOOGL,.GOOGL260729C357.5,CALL,357.50,2026-07-29,0.02,1077,635,2026-07-29 12:51:09
GOOGL,.GOOGL260729C362.5,CALL,362.50,2026-07-29,0.01,928,567,2026-07-29 12:51:09
GOOGL,.GOOGL260731C327.5,CALL,327.50,2026-07-31,9.48,576,7946,2026-07-29 12:51:09
GOOGL,.GOOGL260731C330,CALL,330.00,2026-07-31,8.05,3544,5297,2026-07-29 12:51:09
GOOGL,.GOOGL260731C332.5,CALL,332.50,2026-07-31,6.65,931,3081,2026-07-29 12:51:09
GOOGL,.GOOGL260731C335,CALL,335.00,2026-07-31,5.00,11321,11633,2026-07-29 12:51:09
GOOGL,.GOOGL260731C337.5,CALL,337.50,2026-07-31,3.85,3321,9201,2026-07-29 12:51:09
GOOGL,.GOOGL260731C340,CALL,340.00,2026-07-31,2.80,5309,11162,2026-07-29 12:51:09
GOOGL,.GOOGL260731C342.5,CALL,342.50,2026-07-31,1.85,700,4852,2026-07-29 12:51:09
GOOGL,.GOOGL260731C345,CALL,345.00,2026-07-31,1.41,1316,5129,2026-07-29 12:51:09
GOOGL,.GOOGL260731C350,CALL,350.00,2026-07-31,0.60,1515,5411,2026-07-29 12:51:09
GOOGL,.GOOGL260803C335,CALL,335.00,2026-08-03,6.00,946,288,2026-07-29 12:51:09
GOOGL,.GOOGL260807C335,CALL,335.00,2026-08-07,8.12,551,757,2026-07-29 12:51:09
GOOGL,.GOOGL260814C365,CALL,365.00,2026-08-14,1.41,1278,691,2026-07-29 12:51:09
GOOGL,.GOOGL260821C350,CALL,350.00,2026-08-21,5.60,958,17477,2026-07-29 12:51:09
GOOGL,.GOOGL260821C370,CALL,370.00,2026-08-21,1.68,611,11017,2026-07-29 12:51:09
GOOGL,.GOOGL260821C380,CALL,380.00,2026-08-21,0.88,928,9032,2026-07-29 12:51:09
GOOGL,.GOOGL260729P320,PUT,320.00,2026-07-29,0.03,773,1152,2026-07-29 12:51:09
GOOGL,.GOOGL260729P325,PUT,325.00,2026-07-29,0.04,2077,1146,2026-07-29 12:51:09
GOOGL,.GOOGL260729P327.5,PUT,327.50,2026-07-29,0.11,3755,1105,2026-07-29 12:51:09
GOOGL,.GOOGL260729P330,PUT,330.00,2026-07-29,0.25,15705,2888,2026-07-29 12:51:09
GOOGL,.GOOGL260729P332.5,PUT,332.50,2026-07-29,0.59,11483,653,2026-07-29 12:51:09
GOOGL,.GOOGL260729P335,PUT,335.00,2026-07-29,1.39,6832,459,2026-07-29 12:51:09
GOOGL,.GOOGL260729P337.5,PUT,337.50,2026-07-29,3.00,615,133,2026-07-29 12:51:09
GOOGL,.GOOGL260731P300,PUT,300.00,2026-07-31,0.09,1070,4461,2026-07-29 12:51:09
GOOGL,.GOOGL260731P315,PUT,315.00,2026-07-31,0.37,1227,2643,2026-07-29 12:51:09
GOOGL,.GOOGL260731P320,PUT,320.00,2026-07-31,0.62,1061,2886,2026-07-29 12:51:09
GOOGL,.GOOGL260731P325,PUT,325.00,2026-07-31,1.34,2037,5297,2026-07-29 12:51:09
GOOGL,.GOOGL260731P327.5,PUT,327.50,2026-07-31,1.85,509,2427,2026-07-29 12:51:09
GOOGL,.GOOGL260731P330,PUT,330.00,2026-07-31,2.36,2501,1652,2026-07-29 12:51:09
GOOGL,.GOOGL260731P332.5,PUT,332.50,2026-07-31,3.14,946,904,2026-07-29 12:51:09
GOOGL,.GOOGL260731P335,PUT,335.00,2026-07-31,4.20,704,858,2026-07-29 12:51:09
GOOGL,.GOOGL260814P295,PUT,295.00,2026-08-14,0.64,2735,206,2026-07-29 12:51:09
GOOGL,.GOOGL260821P332.5,PUT,332.50,2026-08-21,9.55,715,400,2026-07-29 12:51:09
GOOGL,.GOOGL260821P350,PUT,350.00,2026-08-21,19.40,2120,9618,2026-07-29 12:51:09
UPST,.UPST260821C35,CALL,35.00,2026-08-21,0.55,805,1024,2026-07-29 12:51:09
UPST,.UPST260731P27.5,PUT,27.50,2026-07-31,1.27,1368,615,2026-07-29 12:51:09
MSFT,.MSFT260731C390,CALL,390.00,2026-07-31,15.68,2743,6138,2026-07-29 12:51:09
MSFT,.MSFT260731C392.5,CALL,392.50,2026-07-31,14.37,2216,3540,2026-07-29 12:51:09
MSFT,.MSFT260731C395,CALL,395.00,2026-07-31,13.14,3947,3902,2026-07-29 12:51:09
MSFT,.MSFT260731C397.5,CALL,397.50,2026-07-31,11.35,1709,2234,2026-07-29 12:51:09
MSFT,.MSFT260731C400,CALL,400.00,2026-07-31,10.70,4292,10627,2026-07-29 12:51:09
MSFT,.MSFT260731C402.5,CALL,402.50,2026-07-31,9.30,517,2057,2026-07-29 12:51:09
MSFT,.MSFT260731C405,CALL,405.00,2026-07-31,8.75,1764,3686,2026-07-29 12:51:09
MSFT,.MSFT260731C410,CALL,410.00,2026-07-31,6.68,935,8669,2026-07-29 12:51:09
MSFT,.MSFT260731C415,CALL,415.00,2026-07-31,5.46,2245,5957,2026-07-29 12:51:09
MSFT,.MSFT260731C417.5,CALL,417.50,2026-07-31,4.75,1001,1085,2026-07-29 12:51:09
MSFT,.MSFT260731C420,CALL,420.00,2026-07-31,4.23,2728,9184,2026-07-29 12:51:09
MSFT,.MSFT260731C425,CALL,425.00,2026-07-31,3.30,3860,7529,2026-07-29 12:51:09
